countryFrom,countryTo,value
UK,US,0.743
DE,US,0.739
CN,US,0.779
CA,US,0.958
FR,US,0.741
DE,UK,0.946
IT,US,0.612
JP,US,0.538
AU,US,0.812
NL,US,0.735
ES,US,0.739
FR,UK,0.979
CH,US,0.907
DE,FR,1.108
DE,IT,1.022
IT,UK,0.850
NL,UK,1.304
AU,UK,1.234
CH,DE,1.943
DE,NL,1.344
CA,UK,0.803
FR,IT,1.215
SE,US,0.723
IN,US,0.294
ES,UK,1.074
BR,US,0.571
CH,UK,1.326
DE,ES,1.167
ES,IT,1.520
IL,US,0.982
ES,FR,1.427
BE,US,0.734
CH,FR,1.829
CA,DE,0.630
CN,UK,0.332
DE,RU,1.662
AT,DE,2.365
SE,UK,1.145
KR,US,0.326
DK,US,0.794
CA,FR,0.870
CN,DE,0.352
AU,DE,0.728
FR,NL,1.100
DE,JP,0.469
DE,SE,1.150
CH,IT,1.556
JP,UK,0.387
BE,UK,1.277
AT,US,0.658
IT,NL,1.037
TW,US,0.792
RU,US,0.436
CA,CN,0.515
BE,FR,2.154
AU,CA,1.105
DK,UK,1.341
US,ZA,1.016
AU,CN,0.668
BE,NL,3.370
CN,JP,0.432
BE,DE,1.289
PL,US,0.420
ES,NL,1.310
NO,US,0.649
AU,FR,0.752
DE,PL,1.118
PT,US,0.330
CN,FR,0.341
DE,DK,1.291
FI,US,0.689
FR,JP,0.453
CA,NL,0.809
CA,IT,0.510
FR,SE,1.082
BR,UK,0.464
CH,NL,1.456
CH,ES,1.512
UK,ZA,1.702
GR,US,0.580
IN,UK,0.229
MX,US,0.908
PT,UK,0.634
ES,PT,1.958
DE,IN,0.259
AT,UK,0.923
CN,IT,0.287
AU,NL,0.952
NO,UK,1.154
IT,RU,1.162
CA,CH,0.931
BE,IT,1.373
DK,SE,4.019
BR,DE,0.460
IT,SE,0.915
NL,SE,1.434
FI,UK,1.179
CA,ES,0.666
IT,JP,0.357
SG,US,0.916
AU,IT,0.534
CL,US,1.012
NZ,US,0.882
BR,FR,0.654
DE,IL,0.986
GR,UK,1.069
FR,RU,0.961
IE,US,0.770
IE,UK,1.806
AR,US,0.842
PL,UK,0.591
NO,SE,4.605
CA,JP,0.363
DK,FR,1.238
DE,FI,1.179
HU,US,0.773
FI,SE,4.840
AU,JP,0.482
BE,ES,1.777
ES,SE,1.238
FR,PT,0.816
AU,ES,0.731
BE,CH,2.217
FR,PL,0.961
AU,CH,0.929
DE,PT,0.504
KE,US,1.560
DK,NL,1.833
DK,IT,1.156
AT,IT,1.191
RU,UK,0.432
AT,FR,1.129
CA,SE,0.772
DE,GR,1.002
CN,ES,0.306
DE,NO,0.919
BR,IT,0.530
TH,US,0.795
CN,NL,0.290
IL,UK,0.633
DE,HU,1.803
CZ,US,0.583
KE,UK,3.289
NZ,UK,1.493
AU,SE,0.963
AU,NZ,4.462
BR,ES,0.790
FR,IN,0.233
CN,HK,3.367
ES,JP,0.390
BR,PT,1.402
BR,CA,0.538
DK,ES,1.582
AT,CH,2.093
CZ,DE,1.413
TR,US,0.263
CH,SE,1.186
IT,PT,0.638
DK,NO,5.319
BE,CA,0.896
IR,US,0.138
CN,SE,0.391
JP,KR,0.379
SA,US,0.475
IN,MY,1.811
IT,PL,0.747
JP,NL,0.335
CA,IN,0.243
CN,TW,0.788
GR,IT,1.234
AT,NL,1.378
HK,US,0.878
CH,JP,0.433
AT,ES,1.388
FR,IL,0.870
CL,DE,1.549
FI,FR,1.111
DE,IE,1.198
CZ,UK,0.997
FI,IT,1.155
CH,CN,0.282
CA,DK,0.872
FR,GR,1.052
AU,IN,0.292
UG,US,1.449
AU,DK,1.171
EG,US,0.559
BE,SE,1.628
AU,BE,0.982
IL,IT,0.818
HU,UK,1.035
NL,NO,1.551
FR,NO,0.932
TH,UK,1.232
EG,SA,24.785
MY,SA,14.163
ES,PL,0.987
SG,UK,1.042
CH,DK,1.524
AU,BR,0.531
CN,SG,1.419
DE,ZA,0.780
IN,IT,0.170
BR,CN,0.241
CN,KR,0.204
DE,KR,0.173
FI,NL,1.593
CL,FR,2.047
CZ,FR,1.571
CN,IN,0.120
CL,UK,1.084
NL,PT,0.706
JP,RU,0.476
IN,JP,0.162
AT,CA,0.755
JP,TW,0.806
AT,SE,1.610
KR,UK,0.129
JP,SE,0.371
ES,GR,1.406
CH,RU,0.895
BR,NL,0.440
AU,ZA,1.647
ES,FI,1.395
TW,UK,0.378
CN,DK,0.413
PE,US,1.925
IT,NO,0.764
UG,UK,2.557
DK,FI,3.568
ES,RU,0.657
AR,ES,2.517
FR,ZA,0.962
CA,ZA,1.160
NL,PL,0.733
ES,NO,1.217
MY,US,0.235
DE,UA,1.345
CL,ES,2.830
BR,CH,0.561
CA,NO,0.836
PK,US,0.406
NL,ZA,1.517
CO,US,0.997
ES,MX,1.994
TZ,UK,2.648
CH,PL,0.949
BE,DK,1.919
AT,BE,1.956
FR,IE,1.221
AT,AU,0.837
PL,RU,1.324
PL,SE,1.101
TZ,US,1.087
FR,HU,1.300
CA,IL,0.646
AR,BR,2.842
CH,PT,0.741
CA,FI,0.838
CA,RU,0.403
GR,NL,1.108
CH,IN,0.254
FI,NO,4.100
AU,FI,1.108
BR,JP,0.235
AU,NO,0.999
NL,RU,0.533
CZ,IT,1.149
SI,US,0.625
RU,SE,0.854
DE,MX,0.658
AR,FR,1.215
AR,UK,0.661
IR,MY,2.596
CH,FI,1.456
SA,UK,0.570
DE,NZ,0.778
AU,SG,1.975
AT,CN,0.336
MX,UK,0.537
BE,CN,0.277
IE,IT,1.103
HU,IT,1.199
BE,JP,0.389
CH,ZA,1.709
CH,IL,1.049
AR,DE,0.732
BE,PL,1.317
BE,PT,1.082
ES,IL,0.782
CL,IT,1.347
BD,US,0.976
CA,KR,0.199
CA,PL,0.409
ES,IN,0.168
MY,UK,0.420
NG,US,0.418
DE,RO,1.147
IR,UK,0.148
AU,TH,2.108
CH,GR,1.275
IN,NL,0.156
DE,TW,0.315
BE,BR,0.697
IE,NL,1.537
CN,MY,0.548
IN,SA,0.978
CA,NZ,1.219
IN,SE,0.240
AT,DK,1.684
ES,HU,1.693
IL,NL,0.670
FI,RU,1.733
ES,IE,1.540
DE,TR,0.293
TR,UK,0.247
UA,US,0.332
DK,JP,0.386
CZ,ES,1.487
CA,PT,0.290
FR,TN,3.665
DE,SG,0.622
MY,TH,9.695
FR,RO,1.531
AT,JP,0.381
CH,NO,1.031
DK,PL,1.269
CA,IE,0.999
JP,TH,1.176
AU,MY,1.054
RO,US,0.347
PT,SE,0.612
CN,RU,0.178
PK,UK,0.606
DE,SI,1.259
FR,MA,2.904
BR,SE,0.414
HR,US,0.586
GH,UK,2.353
HU,NL,1.425
GH,US,0.996
BE,RU,0.869
IT,SI,1.996
BR,RU,0.490
FR,MX,0.721
IN,ZA,0.629
IT,ZA,0.598
MW,UK,3.940
US,ZM,2.118
BE,NO,1.616
GR,SE,1.215
US,VN,0.744
FR,NZ,0.856
DE,HR,1.568
BR,IN,0.164
IT,TR,0.405
FI,JP,0.491
